name,author,year_birth,year_death,popularity,subjects_list
Phineas Finn,Anthony Trollope,1815,1882,284,"['Dublin (Ireland) -- Fiction', 'Legislators -- Fiction', 'London (England) -- Fiction', 'Palliser, Plantagenet (Fictitious character) -- Fiction', 'Political fiction']"
Phineas Redux,Anthony Trollope,1815,1882,127,"['Dublin (Ireland) -- Fiction', 'Legislators -- Crimes against -- Fiction', 'Legislators -- Fiction', 'London (England) -- Fiction', 'Palliser, Plantagenet (Fictitious character) -- Fiction', 'Political fiction', 'Psychological fiction', 'Suspense fiction', 'Widowers -- Fiction']"
Rachel Ray,Anthony Trollope,1815,1882,53,"['Devon (England) -- Fiction', 'Love stories']"
Ralph the Heir,Anthony Trollope,1815,1882,53,"['Domestic fiction', 'England -- Fiction', 'Fathers and sons -- Fiction', 'Inheritance and succession -- Fiction']"
Returning Home,Anthony Trollope,1815,1882,33,"['British -- Costa Rica -- Fiction', 'Short stories', 'Travel -- Fiction']"
Sir Harry Hotspur of Humblethwaite,Anthony Trollope,1815,1882,20,"['Cumberland (England) -- Fiction', 'Domestic fiction', 'Fathers and daughters -- Fiction', 'Inheritance and succession -- Fiction']"
Thackeray,Anthony Trollope,1815,1882,34,"['Novelists, English -- 19th century -- Biography', 'Thackeray, William Makepeace, 1811-1863']"
The American Senator,Anthony Trollope,1815,1882,72,"['Americans -- Great Britain -- Fiction', 'Courtship -- Fiction', 'Great Britain -- Social life and customs -- 19th century -- Fiction', 'Legislators -- Fiction', 'Mate selection -- Fiction', 'Political fiction']"
The Belton Estate,Anthony Trollope,1815,1882,54,"['Inheritance and succession -- Fiction', 'Love stories', 'Somerset (England) -- Fiction']"
The Bertrams,Anthony Trollope,1815,1882,47,"['England -- Fiction', 'Love stories', 'Scholars -- Fiction']"
The Chateau of Prince Polignac,Anthony Trollope,1815,1882,13,['Manners and customs -- Fiction']
The Claverings,Anthony Trollope,1815,1882,76,"['England -- Fiction', 'Inheritance and succession -- Fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Widows -- Fiction']"
The Courtship of Susan Bell,Anthony Trollope,1815,1882,63,"['Courtship -- Fiction', 'New York (State) -- Fiction', 'Short stories']"
